Country,Count
578ffa8e7eb9513f4f55a935,1
578ffa8f7eb9513f4f55a937,1
578ffa917eb9513f4f55a939,1
578ffa957eb9513f4f55a93b,1
578ffa967eb9513f4f55a93d,1
578ffaa07eb9513f4f55a93f,1
Thanks,65
Dean,65
578ffaa07eb9513f4f55a941,1
578ffaa17eb9513f4f55a943,1
578ffaa57eb9513f4f55a945,1
578ffaab7eb9513f4f55a947,1
578ffaad7eb9513f4f55a949,1
578ffab47eb9513f4f55a94b,1
578ffab57eb9513f4f55a94d,1
578ffabd7eb9513f4f55a94f,1
578ffabf7eb9513f4f55a951,1
578ffac17eb9513f4f55a953,1
578ffac17eb9513f4f55a955,1
578ffac47eb9513f4f55a957,1
578ffacb7eb9513f4f55a959,1
578ffacf7eb9513f4f55a95b,1
578ffad37eb9513f4f55a95d,1
578ffad77eb9513f4f55a95f,1
578ffad77eb9513f4f55a961,1
578ffad97eb9513f4f55a963,1
578ffadb7eb9513f4f55a965,1
More,9
here:,28
https://t.co/yIBA70V2Op,1
"https://t.co/P4SCNBuupy""",1
578ffadd7eb9513f4f55a967,1
Head,3
of,45
Governance,3
&,23
Leadership:,3
Women’s,3
Football,34
,917
https://t.co/OZOX8NhKEt,3
"https://t…""",29
578ffadf7eb9513f4f55a969,1
578ffadf7eb9513f4f55a96b,1
578ffae27eb9513f4f55a96d,1
578ffae67eb9513f4f55a96f,1
578ffaea7eb9513f4f55a971,1
578ffaeb7eb9513f4f55a973,1
578ffaec7eb9513f4f55a975,1
578ffaf17eb9513f4f55a977,1
578ffaf27eb9513f4f55a979,1
578ffaf37eb9513f4f55a97b,1
578ffaf57eb9513f4f55a97d,1
578ffaf67eb9513f4f55a97f,1
578ffaf87eb9513f4f55a981,1
578ffaf87eb9513f4f55a983,1
578ffb847eb951401527b540,1
578ffb847eb951401527b542,1
578ffb857eb951401527b544,1
578ffb8a7eb951401527b546,1
578ffb917eb951401527b548,1
578ffb967eb951401527b54a,1
578ffb967eb951401527b54c,1
578ffb987eb951401527b54e,1
578ffb987eb951401527b550,1
578ffb997eb951401527b552,1
578ffb9a7eb951401527b554,1
578ffba17eb951401527b556,1
578ffba27eb951401527b558,1
578ffba37eb951401527b55a,1
578ffba57eb951401527b55c,1
Get,8
the,135
latest,1
on,15
video,2
replay,1
trials,1
taking,1
place,6
at,141
@TheIFAB,1
workshop,1
Red,3
Bull,1
Arena,1
this,81
week,1
"https://t.c…""",26
578ffba97eb951401527b55e,1
578ffbaa7eb951401527b560,1
578ffbaa7eb951401527b562,1
578ffbac7eb951401527b564,1
578ffbae7eb951401527b566,1
578ffbb57eb951401527b568,1
578ffbbb7eb951401527b56a,1
578ffbbd7eb951401527b56c,1
578ffbbf7eb951401527b56e,1
578ffbc17eb951401527b570,1
578ffbc27eb951401527b572,1
Swearing,2
Ref,2
=,9
Running,2
towards,2
an,7
Official,2
Yellow,2
Diego,1
Costa,2
right,6
now;,1
"""""kuku",1
kee,1
me,40
na,1
"😥""""",1
"https://…""",10
578ffbc27eb951401527b574,1
578ffbcc7eb951401527b576,1
578ffbcc7eb951401527b578,1
578ffbcc7eb951401527b57a,1
578ffbcd7eb951401527b57c,1
578ffbcd7eb951401527b57e,1
578ffbce7eb951401527b580,1
578ffbcf7eb951401527b582,1
578ffbcf7eb951401527b584,1
578ffbd07eb951401527b586,1
